作品番号,シリーズ,ハード,発売日,タイトル,ルビ,販売,分類,備考
,,FC,1983/07/15,ドンキーコング,ドンキーコング,任天堂,移植,
,,FC,1983/07/15,ドンキーコングJR.,ドンキーコングジュニア,任天堂,移植,
,,FC,1983/07/15,ポパイ,ポパイ,任天堂,移植,
,,FC,1983/08/27,五目ならべ 連珠,ゴモクナラベ レンジュ,任天堂,オリジナル,
,,FC,1983/08/27,麻雀,マージャン,任天堂,オリジナル,
,,FC,1983/09/09,マリオブラザーズ,マリオブラザーズ,任天堂,移植,
,,FC,1983/11/22,ポパイの英語遊び,ポパイノエイゴアソビ,任天堂,オリジナル,
,,FC,1983/12/07,ベースボール,ベースボール,任天堂,オリジナル,
,,FC,1983/12/12,ドンキーコングJR.の算数遊び,ドンキーコングジュニアノサンスウアソビ,任天堂,オリジナル,
,,FC,1984/01/14,テニス,テニス,任天堂,オリジナル,
,,FC,1984/02/02,ピンボール,ピンボール,任天堂,オリジナル,
,,FC,1984/02/18,ワイルドガンマン,ワイルドガンマン,任天堂,オリジナル,光線銃専用
,,FC,1984/04/21,ダックハント,ダックハント,任天堂,オリジナル,光線銃専用
,,FC,1984/05/01,ゴルフ,ゴルフ,任天堂,オリジナル,
,,FC,1984/06/12,ホーガンズアレイ,ホーガンズアレイ,任天堂,オリジナル,光線銃専用
,,FC,1984/06/21,ファミリーベーシック,ファミリーベーシック,任天堂,ゲーム以外,
,,FC,1984/07/04,ドンキーコング3,ドンキーコング3,任天堂,オリジナル,
,,FC,1984/07/20,ロードランナー,ロードランナー,ハドソン,オリジナル,
,,FC,1984/07/20,ナッツ&ミルク,ナッツアンドミルク,ハドソン,オリジナル,
,,FC,1984/09/07,ギャラクシアン,ギャラクシアン,ナムコ,移植,
,,FC,1984/10/05,デビルワールド,デビルワールド,任天堂,オリジナル,
,,FC,1984/11/02,パックマン,パックマン,ナムコ,移植,
,,FC,1984/11/02,4人打ち麻雀,ヨニンウチマージャン,任天堂,移植,
,,FC,1984/11/02,F1レース,エフワンレース,任天堂,オリジナル,
,,FC,1984/11/08,ゼビウス,ゼビウス,ナムコ,移植,
,,FC,1984/11/14,アーバンチャンピオン,アーバンチャンピオン,任天堂,オリジナル,
,,FC,1984/11/14,マッピー,マッピー,ナムコ,移植,
,,FC,1984/11/22,クルクルランド,クルクルランド,任天堂,オリジナル,
,,FC,1984/11/30,エキサイトバイク,エキサイトバイク,任天堂,オリジナル,
,,FC,1985/01/22,バルーンファイト,バルーンファイト,任天堂,オリジナル,
,,FC,1985/01/30,アイスクライマー,アイスクライマー,任天堂,オリジナル,
,,FC,1985/02/11,エクセリオン,エクセリオン,ジャレコ,移植,
,,FC,1985/02/15,バンゲリングベイ,バンゲリングベイ,ハドソン,移植,
,,FC,1985/02/15,ギャラガ,ギャラガ,ナムコ,移植,
,,FC,1985/02/21,ファミリーベーシックV3,ファミリーベーシックブイスリー,任天堂,ゲーム以外,
,,FC,1985/04/04,フォーメーションZ,フォーメーションゼット,ジャレコ,移植,
,,FC,1985/04/09,サッカー,サッカー,任天堂,オリジナル,
,,FC,1985/04/17,スペースインベーダー,スペースインベーダー,タイトー,移植,
,,FC,1985/04/17,チャンピオンシップロードランナー,チャンピオンシップロードランナー,ハドソン,オリジナル,
,,FC,1985/04/22,イー・アル・カンフー,イー アル カンフー,コナミ,オリジナル,
,,FC,1985/04/22,けっきょく南極大冒険,ケッキョクナンキョクダイボウケン,コナミ,オリジナル,
,,FC,1985/05/10,忍者くん魔城の冒険,ニンジャクンマジョウノボウケン,ジャレコ,オリジナル,
,,FC,1985/05/24,ちゃっくんぽっぷ,チャックンポップ,タイトー,オリジナル,
,,FC,1985/06/04,ディグダグ,ディグダグ,ナムコ,オリジナル,
,,FC,1985/06/14,FLAPPY,フラッピー,デービーソフト,オリジナル,
,,FC,1985/06/18,レッキングクルー,レッキングクルー,任天堂,オリジナル,
,,FC,1985/06/21,スパルタンX,スパルタンエックス,任天堂,移植,
,,FC,1985/06/21,ハイパーオリンピック,ハイパーオリンピック,コナミ,オリジナル,
,,FC,1985/06/25,スターフォース,スターフォース,ハドソン,移植,
,,FC,1985/06/28,エレベーターアクション,エレベーターアクション,タイトー,移植,
,,FC,1985/07/09,フィールドコンバット,フィールドコンバット,ジャレコ,移植,
,,FC,1985/07/11,ロードファイター,ロードファイター,コナミ,オリジナル,
,,FC,1985/07/12,ワープマン,ワープマン,ナムコ,移植,
,,FC,1985/07/18,ジッピーレース,ジッピーレース,アイレム,移植,
,,FC,1985/07/18,ドアドア,ドアドア,エニックス,移植,
,,FC,1985/07/25,スーパーアラビアン,スーパーアラビアン,サンソフト[サン電子],移植,
,,FC,1985/07/26,ブロックセット,ブロックセット,任天堂,オリジナル,ロボット専用
,,FC,1985/08/01,フロントライン,フロントライン,タイトー,移植,
,,FC,1985/08/06,ドルアーガの塔,ドルアーガノトウ,ナムコ,移植,
,,FC,1985/08/09,アストロロボSASA,アストロロボササ,アスキー,移植,
,,FC,1985/08/10,本将棋内藤九段将棋秘伝,ホンショウギナイトウクダンショウギヒデン,セタ,オリジナル,
,,FC,1985/08/13,ジャイロセット,ジャイロセット,任天堂,オリジナル,ロボット専用
,,FC,1985/08/28,ゲイモス,ゲイモス,アスキー,オリジナル,
,,FC,1985/08/30,10ヤードファイト,テンヤードファイト,アイレム,移植,
